Sample,P,r0,t0,lda0,R,T
114,557.1,89.5,98.9,363.03,0.0219,0.60728
115,536.6,103.1,66.3,842.45,0.27457,0.69318
116,601.7,91.7,91.7,744.33,0.48377,0.42506
117,513.8,115.7,63.9,629.5,0.20322,0.77636
118,623.4,49.8,96.8,500.26,0.09094,0.8304
119,570.5,37.9,52.1,646.56,0.12594,0.87342
120,542.4,69.9,66.6,783.47,0.11449,0.87796
121,552.2,49.6,82.0,964.86,0.08945,0.90983
122,528.2,40.9,72.8,688.18,0.1112,0.88668
123,572.5,101.7,83.5,790.38,0.52415,0.36923
124,572.0,47.4,64.0,637.96,0.11797,0.88052
125,473.0,101.1,45.1,627.03,0.22824,0.73786
126,555.2,76.1,90.0,387.6,0.04717,0.63789
127,545.1,92.6,53.7,546.45,0.10855,0.77331
128,617.1,116.0,96.2,597.57,0.26116,0.26125
129,500.2,114.7,65.7,434.19,0.08751,0.48204
130,466.9,79.9,94.5,655.84,0.68257,0.04789
131,577.0,105.9,57.3,714.9,0.20228,0.77954
132,485.2,67.0,91.9,922.17,0.09852,0.89885
133,635.2,107.2,84.2,549.67,0.16629,0.66804
134,589.2,85.5,49.5,798.02,0.21504,0.74309
135,609.2,91.9,53.6,531.69,0.16171,0.77062
136,498.5,57.7,46.4,363.47,0.03202,0.79677
137,605.2,87.6,82.9,992.8,0.10887,0.8873
138,566.3,113.9,88.5,577.13,0.00201,0.67042
139,585.2,64.2,89.5,897.69,0.09621,0.90202
140,454.3,31.7,72.7,461.85,0.09662,0.84843
141,506.0,105.8,82.1,727.53,0.83813,0.02225
142,634.0,83.0,99.2,496.77,0.10184,0.71181
143,640.7,47.7,48.7,908.71,0.09618,0.90339
144,639.7,53.3,71.2,667.24,0.10961,0.88635
145,479.0,65.1,75.3,682.21,0.10861,0.8504
146,521.2,78.7,64.4,523.01,0.10761,0.7367
147,644.4,108.3,45.0,692.2,0.1232,0.86851
148,548.7,52.1,64.1,942.58,0.0939,0.90534
149,525.7,50.8,50.8,385.49,0.04524,0.83922
150,537.3,103.6,70.6,479.27,0.05427,0.65487
151,555.6,53.4,60.3,583.34,0.1497,0.67918
152,572.4,67.7,77.8,476.42,0.11636,0.80328
153,604.1,30.3,80.8,317.64,0.00645,0.93662
154,520.8,66.5,68.0,730.38,0.11169,0.8744
155,468.9,46.8,54.3,522.62,0.11862,0.79573
156,611.2,75.9,69.5,549.76,0.12796,0.67845
157,611.3,119.5,78.3,345.81,0.02795,0.81213
158,641.7,44.4,40.2,910.35,0.09567,0.90401
159,616.1,71.2,73.3,900.24,0.10268,0.89499
160,502.8,31.2,87.2,845.39,0.09989,0.89979
161,587.2,42.6,73.6,781.79,0.10667,0.89257
