Sample,P,r0,t0,lda0,R,T
1154,590.2,94.1,70.6,648.79,0.10546,0.88952
1155,488.5,112.2,63.8,855.16,0.37282,0.5927
1156,480.9,69.4,80.6,370.22,0.02767,0.80832
1157,483.0,42.5,82.2,863.65,0.0982,0.90106
1158,572.4,59.4,67.2,496.62,0.11757,0.78123
1159,631.7,39.2,43.2,948.26,0.09049,0.90932
1160,647.5,104.9,47.6,900.91,0.25742,0.70875
1161,546.1,47.9,63.7,858.84,0.10116,0.89807
1162,477.6,37.9,94.8,855.76,0.09753,0.90185
1163,455.8,56.7,50.1,579.4,0.19397,0.72312
1164,545.9,85.0,62.9,989.53,0.11794,0.87811
1165,517.6,93.6,82.6,468.14,0.10932,0.85061
1166,613.8,53.1,99.6,343.66,0.02867,0.86425
1167,565.4,64.0,53.5,340.29,0.03401,0.89052
1168,598.3,48.2,98.5,859.36,0.09637,0.90277
1169,533.3,93.4,49.0,411.77,0.10163,0.66295
1170,495.2,102.7,86.6,737.28,0.73314,0.13358
1171,595.6,39.3,81.1,454.31,0.08926,0.84209
1172,621.7,51.4,53.5,415.6,0.07318,0.84574
1173,624.7,44.4,99.8,907.15,0.09243,0.90705
1174,458.1,94.5,92.3,834.61,0.17531,0.80795
1175,586.1,60.2,94.4,927.31,0.09245,0.90619
1176,562.8,83.5,89.5,883.03,0.1122,0.882
1177,591.1,107.6,57.6,467.38,0.13543,0.73035
1178,567.0,74.9,84.5,469.67,0.10452,0.82007
1179,521.5,39.1,40.3,762.91,0.11226,0.88705
1180,583.6,65.9,66.2,671.08,0.14255,0.85301
1181,529.1,39.0,50.6,499.13,0.11744,0.84406
1182,647.1,119.1,92.0,635.96,0.01429,0.91596
1183,463.4,34.6,61.3,976.58,0.08763,0.91209
1184,481.6,73.7,73.0,659.1,0.62073,0.08251
1185,638.8,82.5,68.0,707.38,0.11506,0.88407
1186,471.3,61.4,43.1,524.95,0.14246,0.73793
1187,640.4,109.2,64.5,721.69,0.12286,0.87557
1188,587.2,47.1,82.8,990.57,0.08617,0.9133
1189,598.5,38.1,92.1,530.12,0.10719,0.83563
1190,634.2,55.5,90.8,858.34,0.09733,0.90148
1191,452.4,82.9,56.5,698.03,0.53702,0.2967
1192,575.9,106.6,79.3,846.24,0.29508,0.66632
1193,566.8,97.3,96.3,938.0,0.13285,0.8592
1194,535.4,82.0,67.8,468.22,0.10349,0.6707
1195,599.4,95.7,52.1,848.39,0.22453,0.74464
1196,452.5,52.9,88.7,552.06,0.13086,0.71784
1197,510.8,99.5,43.7,470.52,0.15442,0.72137
1198,488.1,55.3,86.3,858.66,0.09852,0.89973
1199,574.7,85.1,60.0,797.94,0.17581,0.79706
1200,593.4,92.4,85.9,559.2,0.27604,0.5254
1201,526.3,95.0,66.5,722.66,0.73782,0.09361
1202,570.3,56.7,82.2,612.54,0.09541,0.87869
1203,559.0,44.2,50.2,967.08,0.08988,0.90974
1204,532.6,59.2,47.5,924.99,0.10099,0.89776
1205,610.1,67.4,75.2,411.9,0.09971,0.84725
1206,649.4,96.5,62.2,354.06,0.0253,0.76884
1207,598.2,67.7,46.8,902.24,0.10677,0.89121
1208,598.2,60.5,71.3,734.04,0.10594,0.88431
1209,561.1,54.0,48.4,430.68,0.09205,0.81466
1210,545.8,30.6,56.5,821.17,0.1042,0.8956
1211,541.3,46.1,86.5,362.06,0.03143,0.87401
1212,596.3,88.5,57.7,779.78,0.38269,0.50714
1213,523.4,57.9,90.4,531.44,0.09703,0.71542
1214,508.2,44.2,93.1,830.63,0.09921,0.89981
1215,520.1,62.4,80.2,962.81,0.09492,0.90347
1216,643.7,64.1,70.7,385.38,0.06489,0.90892
1217,578.8,51.7,56.9,910.49,0.09714,0.90216
1218,644.8,84.8,46.5,795.1,0.43824,0.39474
1219,551.5,89.8,96.2,796.23,0.15137,0.82163
1220,634.7,82.2,98.3,646.21,0.27855,0.44317
1221,572.4,60.1,63.2,419.13,0.05328,0.81598
1222,474.6,108.1,87.0,630.9,0.33922,0.58992
1223,452.3,90.1,43.7,305.6,0.00126,0.87903
1224,592.1,66.4,50.0,389.65,0.06811,0.79081
1225,641.1,71.2,42.0,336.01,0.0274,0.87413
1226,568.6,63.7,95.4,807.34,0.09641,0.90006
1227,450.3,106.0,83.1,946.29,0.22276,0.76498
1228,590.6,43.8,69.9,459.08,0.10498,0.88147
1229,593.0,101.5,40.9,805.42,0.72971,0.0418
1230,609.8,107.3,85.7,737.13,0.21847,0.76513
1231,517.5,59.9,71.7,556.44,0.13708,0.67676
1232,458.4,74.0,86.1,587.88,0.21539,0.67189
1233,632.7,119.4,59.4,929.62,0.34009,0.62235
1234,637.0,111.3,56.7,425.92,0.07172,0.61904
1235,570.0,72.4,49.6,601.33,0.28505,0.41433
1236,571.5,102.2,64.5,404.71,0.06968,0.55303
1237,474.3,111.8,61.3,936.82,0.27772,0.7049
1238,542.5,81.9,54.9,895.57,0.12879,0.86573
1239,570.1,103.7,46.9,681.19,0.1528,0.84002
1240,500.3,37.5,48.3,680.91,0.1174,0.88092
1241,510.1,42.3,54.7,694.5,0.11454,0.88329
1242,451.2,81.1,80.9,418.87,0.12356,0.69809
1243,624.8,116.7,64.2,971.44,0.22895,0.75296
1244,460.3,72.1,58.0,573.16,0.18048,0.76812
1245,648.1,76.3,79.1,877.04,0.10516,0.89114
1246,497.1,71.4,69.6,522.16,0.12522,0.68615
1247,527.5,48.6,71.5,314.33,0.0076,0.94607
1248,464.5,80.5,66.4,640.37,0.44187,0.41982
1249,508.3,72.1,42.4,884.11,0.12179,0.87421
1250,632.8,30.6,95.8,552.94,0.11785,0.85759
1251,494.7,115.3,89.0,999.15,0.22752,0.76036
1252,579.8,80.1,76.7,578.97,0.11979,0.80963
1253,539.0,69.0,63.1,572.48,0.20741,0.56955
1254,489.8,67.1,41.4,862.8,0.1194,0.87697
1255,458.6,46.7,53.7,427.55,0.08308,0.7949
1256,544.4,46.4,82.9,417.48,0.06632,0.78724
1257,597.5,33.4,91.5,300.37,0.00213,0.96502
1258,514.2,90.7,42.6,545.28,0.18471,0.71163
1259,552.5,52.5,47.7,782.22,0.11159,0.88658
1260,451.9,57.8,41.6,359.12,0.04972,0.88071
1261,593.7,62.9,74.6,900.51,0.09886,0.89964
1262,640.7,109.8,49.0,816.77,0.40794,0.48631
1263,603.7,87.8,84.7,800.32,0.16863,0.79814
1264,615.2,54.6,82.8,982.88,0.08799,0.91125
1265,569.9,118.8,53.3,375.17,0.09541,0.58907
1266,637.6,62.2,73.2,683.28,0.108,0.88878
1267,550.9,109.7,64.0,329.32,0.02508,0.8678
1268,553.4,82.5,81.6,452.83,0.05164,0.8296
1269,479.9,86.9,43.2,333.98,0.04601,0.72444
1270,460.2,58.9,94.6,866.75,0.09658,0.90103
1271,578.4,58.6,45.6,520.87,0.13435,0.79164
1272,486.9,117.1,81.6,486.74,0.07934,0.45582
1273,494.2,51.4,45.0,965.52,0.09414,0.90509
1274,558.5,115.2,56.4,378.19,0.09443,0.7265
1275,649.8,63.1,97.9,728.86,0.12221,0.87652
1276,517.2,95.7,75.2,510.38,0.10115,0.58194
1277,523.3,52.0,90.1,848.52,0.09795,0.90067
1278,461.9,59.0,48.9,943.4,0.1023,0.89619
1279,526.5,78.3,75.7,466.51,0.06483,0.69138
1280,589.0,83.3,84.9,926.35,0.10934,0.8864
1281,565.2,110.0,77.3,812.94,0.56027,0.34914
1282,461.1,68.4,98.2,476.09,0.07153,0.65792
1283,583.4,92.7,41.7,925.82,0.15634,0.83331
1284,640.5,110.4,40.7,593.22,0.19556,0.7673
1285,518.0,91.5,74.2,480.83,0.15173,0.66141
1286,464.0,88.1,51.9,776.31,0.26126,0.69764
1287,491.0,38.2,73.1,750.88,0.10912,0.89001
1288,552.7,40.1,41.4,327.09,0.01787,0.97899
1289,469.6,102.0,91.4,429.95,0.12271,0.75101
1290,488.9,58.5,87.3,427.39,0.04588,0.72848
1291,633.1,58.1,93.5,459.8,0.06516,0.8163
1292,610.7,113.9,84.4,939.1,0.21552,0.76712
1293,560.8,93.8,55.8,682.51,0.18198,0.80387
1294,555.0,30.4,93.9,708.6,0.11306,0.88639
1295,538.4,99.1,63.0,836.65,0.24491,0.72556
1296,536.6,100.6,81.9,748.76,0.78885,0.0513
1297,502.0,82.3,69.6,328.31,0.01913,0.6983
1298,596.8,45.1,44.2,912.09,0.0959,0.90371
1299,489.0,40.0,83.7,695.67,0.10833,0.88972
1300,611.9,64.1,89.2,577.47,0.1533,0.49864
1301,471.6,118.6,62.5,386.52,0.02417,0.44916
1302,480.1,108.6,86.4,954.31,0.21519,0.77249
1303,471.9,46.2,40.5,406.9,0.08201,0.83291
1304,593.4,73.1,90.0,828.88,0.10104,0.89372
1305,504.1,62.3,74.8,708.07,0.10054,0.88542
1306,557.2,114.3,82.1,431.28,0.02579,0.58974
1307,648.4,55.8,55.9,733.22,0.1351,0.85405
1308,610.9,107.3,64.5,446.03,0.03398,0.75089
1309,623.7,86.8,73.4,702.77,0.12391,0.8748
1310,632.7,48.8,70.8,718.57,0.26228,0.50106
1311,570.7,104.5,67.9,638.09,0.11551,0.88068
1312,462.4,116.7,95.3,499.67,0.03673,0.43248
1313,498.3,87.1,59.9,659.35,0.32659,0.61265
1314,455.6,49.0,85.5,685.62,0.09655,0.8974
1315,646.8,43.2,92.9,910.87,0.09264,0.90693
1316,559.5,59.9,62.4,728.67,0.11029,0.88183
1317,470.2,96.1,47.4,530.2,0.10944,0.74882
1318,474.5,37.4,88.0,805.29,0.10278,0.8965
1319,632.2,35.1,46.5,733.82,0.11436,0.88514
1320,589.1,55.8,86.7,639.15,0.10344,0.89017
1321,557.8,100.0,97.9,742.24,0.80004,0.0446
1322,646.9,67.2,90.1,769.29,0.10088,0.88149
1323,450.7,60.7,66.4,645.81,0.14304,0.74672
1324,457.4,33.2,73.1,348.45,0.02245,0.9122
1325,609.9,84.0,65.2,867.33,0.12635,0.86631
1326,612.2,105.2,68.0,995.02,0.15442,0.83708
1327,602.1,55.8,92.2,591.17,0.14132,0.80953
1328,455.0,75.5,61.7,358.83,0.0035,0.72407
1329,502.7,59.2,81.8,807.48,0.1019,0.89521
1330,533.7,115.4,59.5,338.36,0.04653,0.78231
1331,513.9,98.9,41.8,619.06,0.16025,0.82882
1332,499.8,95.6,85.2,656.55,0.36205,0.57988
1333,533.4,56.1,53.9,969.59,0.09403,0.90505
1334,465.5,42.2,92.6,696.04,0.10314,0.89413
1335,576.2,48.3,69.1,428.17,0.07125,0.87815
1336,462.8,62.4,76.9,996.09,0.09584,0.90236
1337,618.7,85.9,73.0,648.62,0.11826,0.8169
1338,620.2,35.7,51.0,530.95,0.12539,0.84387
1339,561.3,109.0,61.2,965.33,0.20172,0.78513
1340,586.4,38.4,65.4,322.1,0.01239,0.9746
1341,585.5,38.1,70.4,562.22,0.11533,0.84143
1342,625.7,45.6,83.8,939.9,0.09057,0.90896
1343,568.7,106.0,44.5,546.6,0.23602,0.62225
1344,453.1,76.6,68.7,301.6,0.00368,0.62036
1345,566.4,50.3,64.7,757.03,0.10896,0.88919
1346,499.9,87.7,76.3,312.59,0.01391,0.82313
1347,641.6,42.0,71.7,798.43,0.10563,0.8938
1348,525.9,95.3,55.7,571.71,0.25724,0.42295
1349,547.7,33.9,45.5,748.15,0.11294,0.88664
1350,469.8,32.4,55.5,941.11,0.09115,0.90863
1351,633.9,41.9,65.7,567.01,0.12569,0.80836
1352,591.1,110.3,82.2,930.05,0.20299,0.78135
1353,635.3,30.3,63.2,346.12,0.03343,0.95363
1354,500.1,60.6,69.7,602.08,0.18895,0.76321
1355,544.2,101.5,86.8,533.98,0.14672,0.43333
1356,620.7,117.9,41.2,542.36,0.17396,0.78045
1357,468.2,79.3,55.4,784.21,0.16058,0.82196
1358,481.8,80.0,91.0,690.35,0.35189,0.50127
1359,504.2,86.7,94.9,631.1,0.25705,0.69081
1360,476.1,89.6,72.3,507.49,0.10893,0.61376
1361,456.2,93.6,43.4,325.31,0.05099,0.61205
1362,533.0,87.9,91.7,644.91,0.20895,0.76685
1363,560.5,82.9,71.2,794.93,0.14378,0.83733
1364,536.2,66.9,64.7,727.23,0.11654,0.86623
1365,495.0,91.4,60.5,860.28,0.17686,0.80981
1366,502.5,76.9,95.5,794.34,0.10265,0.88692
1367,506.6,60.8,57.7,697.08,0.11509,0.86672
1368,546.7,85.7,61.3,607.8,0.10516,0.88506
1369,468.1,64.3,58.9,530.48,0.09627,0.82539
1370,631.1,97.2,75.2,854.45,0.19671,0.77691
1371,618.8,42.3,93.9,816.9,0.10148,0.89787
1372,625.6,97.6,78.5,468.9,0.07911,0.85086
1373,632.8,32.9,55.3,766.36,0.11046,0.88927
1374,494.2,102.9,46.7,730.98,0.65174,0.2082
1375,526.9,101.5,69.9,904.23,0.19086,0.79619
1376,513.5,69.5,61.9,835.7,0.11476,0.88094
1377,505.6,53.6,59.1,847.91,0.10478,0.89385
1378,457.2,73.3,48.4,385.01,0.03585,0.89199
1379,557.5,96.7,85.0,452.21,0.02584,0.67097
1380,529.7,104.2,82.7,417.74,0.03107,0.61537
1381,558.7,73.2,93.0,850.85,0.10022,0.89542
1382,476.7,112.7,46.8,414.16,0.11578,0.56271
1383,563.8,113.2,76.7,444.33,0.07995,0.66295
1384,479.0,42.7,85.3,642.51,0.09967,0.89008
1385,620.4,118.1,85.9,911.98,0.29552,0.67523
1386,450.6,93.3,81.0,525.54,0.09187,0.77662
1387,500.9,95.4,99.6,989.92,0.13468,0.85857
1388,455.0,105.9,49.9,790.91,0.56941,0.34881
1389,452.1,99.0,75.7,774.96,0.34058,0.61203
1390,563.3,96.5,85.2,410.16,0.01087,0.59149
1391,599.7,31.3,66.7,765.66,0.10996,0.88977
1392,460.8,107.1,83.5,916.35,0.2342,0.75162
1393,550.7,46.4,79.4,392.16,0.0404,0.8193
1394,497.3,77.1,62.4,704.8,0.29619,0.59461
1395,507.2,33.0,46.3,730.67,0.11461,0.88489
1396,483.8,94.9,70.8,431.08,0.02256,0.72751
1397,523.1,43.3,79.8,358.34,0.02623,0.8167
1398,620.5,76.3,42.0,485.13,0.12946,0.83559
1399,492.8,93.0,54.8,484.96,0.10595,0.65483
1400,549.1,53.9,89.5,324.92,0.02073,0.94036
1401,508.6,88.2,71.0,457.43,0.06689,0.84396
1402,620.3,76.5,56.5,943.95,0.10679,0.89058
1403,477.9,69.0,93.3,327.53,0.02217,0.82039
1404,617.8,92.0,88.2,661.74,0.09034,0.89676
1405,563.2,105.2,72.2,897.59,0.20742,0.77605
1406,451.2,75.4,75.0,790.01,0.12407,0.86527
1407,484.2,103.5,53.9,395.28,0.05641,0.55047
1408,580.9,90.8,54.6,881.45,0.15479,0.83431
1409,571.8,97.4,64.8,327.24,0.01309,0.87303
1410,587.5,64.4,44.6,360.84,0.05421,0.90014
1411,627.8,112.1,44.7,600.1,0.37872,0.41388
1412,571.9,36.7,98.6,656.29,0.09518,0.88738
1413,590.7,53.5,61.1,510.24,0.12619,0.80252
1414,638.4,79.3,99.3,617.78,0.06553,0.90728
1415,523.2,68.1,46.1,756.62,0.13221,0.85524
1416,606.8,48.6,75.1,431.03,0.06965,0.83402
1417,496.1,82.8,88.3,713.38,0.28189,0.62153
1418,610.1,58.3,93.8,864.44,0.09621,0.90233
1419,563.9,84.2,49.5,383.05,0.08651,0.78195
1420,648.4,95.9,42.1,987.73,0.13592,0.85665
1421,570.4,30.7,45.5,687.47,0.11869,0.88076
1422,567.4,83.1,87.0,421.46,0.01786,0.7764
1423,476.3,75.1,63.9,685.79,0.33944,0.51277
1424,463.9,67.4,97.4,601.84,0.28296,0.5333
1425,561.4,90.6,50.6,300.23,0.00612,0.75045
1426,542.8,105.5,90.6,515.09,0.18916,0.54815
1427,503.1,69.3,84.7,330.88,0.0043,0.66945
1428,462.0,112.1,66.0,329.95,0.07718,0.42028
1429,470.3,105.6,89.8,619.81,0.30976,0.61029
1430,636.5,107.8,84.7,410.93,0.09367,0.64372
1431,602.6,88.9,53.3,581.06,0.20477,0.45386
1432,545.1,43.7,93.2,341.79,0.02041,0.9026
1433,634.9,53.2,92.7,652.44,0.10055,0.89201
1434,597.8,80.2,44.0,530.7,0.15526,0.78737
1435,528.7,65.9,94.6,420.18,0.04501,0.67871
1436,492.9,38.7,56.2,583.44,0.16766,0.71548
1437,494.4,60.7,100.0,487.94,0.05095,0.76699
1438,610.0,110.9,48.1,346.8,0.00526,0.80181
1439,453.5,103.0,54.3,749.14,0.72689,0.14899
1440,562.1,42.0,46.0,557.83,0.14136,0.80992
1441,589.8,49.4,68.0,330.04,0.0113,0.9054
1442,457.0,55.3,83.9,583.7,0.21873,0.5826
1443,512.9,79.0,46.1,997.28,0.11551,0.8811
1444,547.0,31.9,88.6,864.06,0.09789,0.90184
1445,452.2,91.8,81.0,966.26,0.15214,0.84069
1446,563.2,79.4,49.2,855.35,0.13191,0.86084
1447,520.7,114.1,87.4,713.2,0.59792,0.32668
1448,586.2,66.6,45.3,878.99,0.1096,0.88809
1449,544.6,34.5,96.8,844.16,0.09924,0.90036
1450,578.0,101.0,56.3,688.48,0.1601,0.83218
1451,495.4,50.4,53.1,406.19,0.05774,0.83651
1452,466.7,110.1,80.2,745.4,0.73748,0.15941
1453,597.4,73.5,67.4,405.15,0.09395,0.77955
1454,512.9,71.9,89.6,837.69,0.10275,0.89234
1455,617.3,99.5,52.0,789.68,0.58369,0.24753
1456,587.2,108.6,65.7,938.65,0.20372,0.78124
1457,530.8,112.9,76.1,945.04,0.23284,0.75195
1458,510.0,49.3,50.2,704.43,0.11454,0.88152
1459,531.1,49.4,97.6,406.69,0.06623,0.7925
1460,528.7,105.5,90.7,675.56,0.32182,0.64143
1461,609.4,67.1,96.3,957.59,0.09145,0.90685
1462,551.2,111.2,76.4,797.3,0.69189,0.19623
1463,641.3,94.0,91.2,744.92,0.16139,0.83114
1464,495.4,99.5,61.5,586.61,0.15825,0.82102
1465,522.7,91.8,88.7,561.86,0.07688,0.61091
1466,453.3,102.1,81.6,709.79,0.79746,0.06531
1467,588.2,107.0,67.5,841.49,0.38196,0.55961
1468,518.6,87.5,48.4,998.93,0.13044,0.86458
1469,635.8,37.7,89.4,833.05,0.10098,0.89864
1470,578.2,31.4,76.0,924.83,0.09173,0.9081
1471,511.4,89.8,52.1,659.65,0.24119,0.72497
1472,465.2,41.2,73.1,484.78,0.09875,0.81859
1473,473.5,81.4,53.8,535.98,0.09575,0.82883
1474,642.0,65.8,51.1,892.53,0.10424,0.8941
1475,564.2,72.2,78.5,507.4,0.08495,0.80897
1476,613.7,76.6,42.5,600.19,0.13155,0.8593
1477,547.8,117.9,53.2,491.91,0.08825,0.6694
1478,494.1,88.5,69.6,320.58,0.01793,0.72305
1479,635.2,118.4,85.0,822.31,0.71829,0.16819
1480,633.4,119.7,72.1,652.96,0.55545,0.21945
1481,542.5,50.8,91.0,787.76,0.10086,0.89739
1482,591.2,48.3,58.0,553.47,0.14205,0.76349
1483,505.4,92.7,88.3,411.44,0.0051,0.57355
1484,487.2,49.6,58.8,627.06,0.11497,0.80872
1485,471.2,63.6,43.9,537.86,0.1103,0.86423
1486,641.0,109.2,52.4,494.03,0.10656,0.87042
1487,478.3,39.6,68.8,514.29,0.10922,0.81752
1488,498.0,43.5,83.1,415.23,0.06944,0.89312
1489,591.3,46.3,47.4,887.79,0.09877,0.90076
1490,471.9,83.4,43.1,815.63,0.1878,0.7925
1491,614.2,88.6,56.2,870.77,0.14663,0.84234
1492,519.0,76.2,64.9,716.47,0.21525,0.71143
1493,482.4,103.2,88.7,650.86,0.41946,0.50963
1494,539.6,97.4,68.3,429.02,0.08999,0.65435
1495,498.5,84.2,93.5,691.18,0.65477,0.12542
1496,533.2,44.6,61.6,417.45,0.0818,0.9012
1497,613.8,85.0,77.3,865.79,0.12102,0.87135
1498,450.9,48.8,62.0,465.81,0.10124,0.79045
1499,589.5,95.9,79.9,476.21,0.05063,0.73139
1500,640.8,38.6,66.0,424.57,0.07998,0.87491
1501,533.6,76.9,91.1,535.29,0.05844,0.64623
1502,467.9,54.6,59.3,394.2,0.0568,0.91252
1503,645.0,92.9,58.5,948.53,0.13086,0.86256
1504,523.6,70.2,87.9,353.38,0.04797,0.89209
1505,454.0,41.1,92.7,819.13,0.10004,0.89894
1506,575.2,63.6,66.6,744.02,0.1098,0.8813
1507,573.3,93.9,95.1,472.1,0.07973,0.79258
1508,509.1,69.6,48.2,619.07,0.17701,0.79678
1509,497.5,79.5,40.5,397.36,0.0951,0.77614
1510,549.6,45.8,90.4,970.77,0.08758,0.9118
1511,541.9,100.3,42.4,580.96,0.30132,0.49065
1512,551.9,104.8,59.5,709.63,0.27505,0.69178
1513,531.6,70.7,40.1,328.61,0.02429,0.93312
1514,585.1,94.5,67.0,773.56,0.64958,0.17652
1515,574.3,81.8,95.1,743.22,0.24608,0.66018
1516,645.7,34.9,52.5,309.28,0.00369,0.9462
1517,621.2,31.4,84.9,370.8,0.04135,0.89819
1518,571.6,112.0,93.2,722.1,0.33364,0.63306
1519,592.8,38.7,88.3,754.18,0.10784,0.89143
1520,598.4,38.3,84.0,924.73,0.09171,0.90798
1521,626.0,62.4,68.7,475.43,0.11905,0.80341
1522,555.8,90.4,58.3,756.19,0.57251,0.26184
1523,459.8,55.6,87.2,379.3,0.02136,0.78442
1524,574.2,43.2,96.2,308.98,0.00228,0.8696
1525,556.0,94.9,67.0,456.81,0.07213,0.84651
1526,517.4,87.2,68.6,575.02,0.09371,0.84124
1527,601.7,70.0,78.3,647.49,0.09764,0.89194
1528,455.5,110.3,71.8,722.36,0.86278,0.01399
1529,611.3,43.4,93.1,652.67,0.1109,0.88648
1530,604.9,85.0,51.8,687.01,0.12611,0.87272
1531,533.5,65.1,95.6,361.59,0.05555,0.86661
1532,535.0,59.3,70.1,510.67,0.12166,0.73147
1533,531.3,102.3,58.7,337.86,0.04176,0.79915
1534,493.7,101.3,41.5,432.5,0.12765,0.64605
1535,562.8,106.4,69.4,466.67,0.10526,0.78206
1536,484.6,42.8,89.6,519.12,0.09202,0.78787
1537,578.6,47.6,50.4,881.3,0.09972,0.89972
1538,457.2,44.4,96.1,478.55,0.07781,0.78058
1539,597.6,32.7,44.1,774.2,0.11012,0.88963
1540,534.3,71.7,93.0,628.12,0.1703,0.81175
1541,479.3,100.1,94.4,677.96,0.69573,0.17604
1542,582.0,114.2,92.1,414.65,0.04925,0.45143
1543,469.0,61.6,41.0,570.3,0.1571,0.81367
1544,472.5,40.9,69.3,643.27,0.10818,0.88441
1545,531.0,103.7,89.6,323.83,0.0217,0.8278
1546,466.5,40.7,58.5,772.69,0.10935,0.88971
1547,506.6,109.3,80.8,662.97,0.34009,0.61976
1548,597.0,34.0,56.5,436.27,0.09013,0.88566
1549,630.0,68.3,71.7,766.66,0.11374,0.87166
1550,479.1,32.2,46.5,535.17,0.12242,0.84794
1551,513.0,68.6,95.0,323.58,0.00665,0.83981
1552,567.5,39.4,86.3,920.03,0.09217,0.90744
1553,515.3,41.9,88.4,644.44,0.10109,0.88973
1554,621.9,63.8,98.4,857.07,0.09532,0.90254
1555,641.1,90.4,61.4,386.24,0.07291,0.85877
1556,482.3,69.7,69.2,304.3,0.00036,0.89396
1557,540.7,110.9,51.6,701.63,0.24327,0.73016
1558,586.0,111.6,81.7,338.43,0.03637,0.87195
1559,632.2,107.8,95.5,364.43,0.06001,0.85064
1560,461.7,102.5,73.3,663.44,0.55525,0.35259
1561,626.1,73.7,78.0,361.6,0.03694,0.88324
1562,615.9,41.6,89.2,649.73,0.1123,0.88506
1563,535.6,99.1,61.3,650.32,0.18622,0.80064
1564,524.1,54.9,77.7,803.26,0.10316,0.8948
1565,519.5,52.2,40.8,825.04,0.10939,0.88916
1566,514.8,66.1,77.5,538.42,0.1162,0.68707
1567,458.2,52.5,51.2,616.05,0.20007,0.57487
1568,500.1,72.8,86.4,451.52,0.097,0.86625
1569,646.4,68.7,91.2,558.18,0.14019,0.72932
1570,535.3,87.8,89.8,671.72,0.31993,0.63296
1571,463.4,103.4,71.0,878.1,0.24376,0.73904
1572,561.6,116.9,83.1,563.07,0.09795,0.3795
1573,646.6,90.9,67.6,710.42,0.11271,0.88601
1574,522.4,53.4,68.7,800.96,0.10572,0.89246
1575,546.0,50.1,57.4,644.65,0.27727,0.42379
1576,628.6,54.8,49.1,681.46,0.11656,0.88149
1577,532.9,118.5,46.4,348.59,0.07818,0.64122
1578,619.9,65.7,63.9,404.55,0.07265,0.77182
1579,642.2,41.4,45.4,845.98,0.1024,0.89725
1580,450.8,97.2,71.2,938.86,0.18579,0.80446
1581,500.4,80.6,80.4,440.14,0.03861,0.63844
1582,462.3,105.1,86.9,872.17,0.2371,0.74543
1583,541.7,37.8,65.2,406.0,0.06605,0.89856
1584,621.1,45.5,53.4,969.12,0.08914,0.91052
1585,616.1,97.2,85.4,676.72,0.10591,0.89093
1586,515.6,50.6,98.9,504.92,0.06838,0.78764
1587,551.5,100.3,92.7,539.92,0.14735,0.39766
1588,649.2,48.4,88.2,505.62,0.11266,0.80562
1589,564.8,34.6,80.7,845.75,0.10026,0.89942
1590,513.0,112.6,57.4,675.78,0.28176,0.68779
1591,541.8,46.4,99.6,787.14,0.1005,0.89813
1592,468.3,117.2,72.5,984.19,0.27979,0.7053
1593,513.5,34.9,79.0,829.58,0.10197,0.89762
1594,470.9,105.6,43.4,736.51,0.73332,0.11686
1595,466.6,81.5,45.4,761.72,0.22619,0.73433
1596,621.6,39.8,87.8,319.6,0.01284,0.95977
1597,617.7,119.6,53.0,736.74,0.14925,0.84293
1598,595.3,84.3,58.7,301.86,0.00365,0.93392
1599,542.3,39.3,71.4,704.15,0.11229,0.88642
1600,588.0,91.1,60.5,399.49,0.1021,0.73852
1601,597.5,33.6,59.4,735.85,0.11324,0.88634
1602,530.4,75.5,80.9,836.36,0.11047,0.8836
1603,601.5,73.9,50.3,976.07,0.10277,0.89512
1604,574.6,111.9,67.5,441.07,0.12007,0.61765
1605,534.4,58.3,63.2,588.06,0.10391,0.85296
1606,454.1,107.0,71.3,509.22,0.05777,0.66335
1607,482.5,91.2,53.5,949.12,0.15799,0.83433
1608,465.9,53.0,74.4,937.83,0.0954,0.90342
1609,601.7,103.6,80.5,854.73,0.24418,0.72373
1610,607.5,41.3,59.8,568.83,0.12694,0.8012
1611,511.7,67.6,46.6,568.37,0.12272,0.77311
1612,592.0,37.3,79.9,856.42,0.09916,0.90049
1613,455.3,96.7,72.7,875.37,0.19943,0.78714
1614,619.8,59.9,59.0,424.78,0.08205,0.79399
1615,649.9,65.7,82.4,786.54,0.10248,0.89067
1616,629.5,56.4,81.4,959.55,0.09047,0.90869
1617,516.5,115.6,50.0,502.89,0.17418,0.5852
1618,604.8,52.9,46.6,828.46,0.10692,0.89192
1619,484.5,99.3,65.6,432.38,0.02293,0.72727
1620,466.4,61.0,69.3,501.29,0.10859,0.72893
1621,523.8,113.7,40.1,981.62,0.26706,0.71143
1622,635.2,45.1,46.4,595.07,0.12572,0.81657
1623,640.6,77.6,78.1,650.73,0.17753,0.6674
1624,535.6,72.5,51.0,997.83,0.10336,0.89449
1625,645.8,102.4,49.7,965.59,0.16137,0.82747
1626,489.1,65.9,52.2,428.78,0.08966,0.73124
1627,594.9,76.0,77.0,762.59,0.13075,0.84201
1628,548.6,32.2,53.3,983.67,0.08602,0.91384
1629,577.8,72.7,63.7,445.22,0.0677,0.76599
1630,646.0,98.8,51.3,903.43,0.18531,0.79674
1631,623.5,71.1,67.2,404.9,0.07661,0.75648
1632,490.7,32.1,86.5,897.4,0.09439,0.90531
1633,575.6,47.2,42.5,330.25,0.01428,0.90434
1634,529.3,46.2,77.4,506.52,0.10289,0.7931
1635,570.0,93.3,94.1,849.71,0.14076,0.84448
